timestamp,serverName,type,activeConnections,requests,responseTimeMs,cpu,ram,diskRead,diskWrite,netIn,netOut,errors4xx,errors5xx,busyWorkers,idleWorkers,reqPerSec,bytesPerSec
1774167381908,apache-c7e3a469,apache,1,0,0,0.007581047381546135,0.6894981097508515,0.0,0.0,1950.0,126.0,0,0,1,74,0.146341,168.585
1774167383910,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167385915,apache-2b810618,apache,1,0,0,0.004764267990074442,0.18877186944881652,0.0,0.0,1196.0,126.0,0,0,1,74,0.143713,165.557
1774167387939,apache-c7e3a469,apache,1,0,0,0.009924812030075189,0.6898017642325386,0.0,0.0,1950.0,126.0,0,0,1,74,0.147059,168.659
1774167389939,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167391958,apache-2b810618,apache,1,0,0,0.0113,0.19059379633893914,0.0,0.0,1196.0,126.0,0,0,1,74,0.145349,166.698
1774167393991,apache-c7e3a469,apache,1,0,0,0.0063,0.6905102913564751,0.0,0.0,1950.0,126.0,0,0,1,74,0.147727,168.727
1774167395985,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167398001,apache-2b810618,apache,1,0,0,0.009447236180904522,0.19049257817837678,0.0,0.0,1196.0,126.0,0,0,1,74,0.146067,166.831
1774167400024,apache-c7e3a469,apache,1,0,0,0.005247524752475247,0.6907127276776,0.0,0.0,1950.0,126.0,0,0,1,74,0.148352,168.791
1774167402023,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167404034,apache-2b810618,apache,1,0,0,0.010972568578553615,0.19079623266006387,0.0,0.0,1196.0,126.0,0,0,1,74,0.145946,166.054
1774167406056,apache-c7e3a469,apache,1,0,0,0.010845771144278607,0.6910163821592871,0.0,0.0,1950.0,126.0,0,0,1,74,0.148936,168.851
1774167408049,nginx-787d7175,nginx,1,0,0,0.0,0.5387842686734854,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167410072,apache-2b810618,apache,1,0,0,0.011017369727047147,0.19180841426568754,0.0,0.0,1196.0,126.0,0,0,1,74,0.146597,166.199
1774167412110,apache-c7e3a469,apache,1,0,0,0.005841584158415842,0.6914212548015365,0.0,0.0,1950.0,126.0,0,0,1,74,0.149485,168.907
1774167414092,nginx-787d7175,nginx,1,0,0,0.0,0.5389867049946101,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
